Waktu Gempa (UTC);Lintang;Bujur;Magnitudo;Kedalaman (Km);Wilayah;Status;Detail
28/10/2024 23:35;2.08;99.00;3.3;5;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vftc
28/10/2024 23:33;2.07;98.99;2.6;7;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vftb
28/10/2024 23:32;-2.28;120.48;2.6;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfta
28/10/2024 23:30;-1.92;136.87;3.6;32;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfsy
28/10/2024 23:28;1.71;125.81;3.3;15;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfsw
28/10/2024 23:17;-2.32;120.46;2.7;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfsn
28/10/2024 22:34;-26.09;179.79;5.3;543;South of Fiji Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfrc
28/10/2024 20:26;-9.01;123.96;3.0;67;Timor Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfmx
28/10/2024 16:50;-1.03;127.40;3.9;10;Halmahera-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfft
28/10/2024 15:17;-2.96;135.58;4.0;19;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfcr
28/10/2024 14:16;-3.42;134.93;3.4;10;West Papua Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vfar
28/10/2024 13:52;-3.97;122.44;3.0;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vezx
28/10/2024 13:29;-8.14;107.92;3.7;25;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vezd
28/10/2024 13:07;1.55;96.98;4.6;22;Off West Coast of Northern Sumatra;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024veyj
28/10/2024 11:17;-8.83;111.86;3.0;22;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024veuu
28/10/2024 08:39;-8.60;118.40;3.6;114;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vepo
28/10/2024 06:40;3.17;98.01;2.7;10;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024velq
28/10/2024 05:40;1.75;126.71;4.8;103;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vejr
28/10/2024 05:07;-5.71;104.74;3.4;10;Southern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024veip
28/10/2024 02:46;-26.03;-179.96;5.4;494;South of Fiji Islands;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vedx
28/10/2024 02:21;-9.01;114.96;4.4;64;South of Bali-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vedc
28/10/2024 02:03;-7.32;125.77;4.7;451;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vecm
27/10/2024 22:06;-17.82;-178.08;5.0;628;Fiji Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdur
27/10/2024 20:58;-1.98;137.41;4.8;19;Near North Coast of West Papua;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vdsl
